Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~VOU_SOM_CV_V0.0.1.PrjPcb|ReportField=ProjectFullPath~D:\Work\FPGA_dev\PCB_SCH_prj\VOU_SOM_CV\VOU_SOM_CV_V0.0.1\VOU_SOM_CV_V0.0.1.PrjPcb|ReportField=Title~Bill of Materials For Project [VOU_SOM_CV_V0.0.1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~518|ReportField=ReportTime~17:41:52|ReportField=ReportDate~28.08.2017|ReportField=ReportDateTime~28.08.2017 17:41:52|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~28.08.2017|ReportField=CurrentTime~17:04:55|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Work\FPGA_dev\PCB_SCH_prj\VOU_SOM_CV\VOU_SOM_CV_V0.0.1\VOU_SOM_CV_V0.0.1.SchDoc|ReportField=DocumentName~VOU_SOM_CV_V0.0.1.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~28.08.2017|ReportField=N_Contr~|ReportField=NOMER_DOCUM~|ReportField=Organization~|ReportField=ProjectName~VOU_SOM_CV_V0.0.1.PrjPcb|ReportField=Prov~|ReportField=Razrabotal~Савицкий|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~12|ReportField=T_Contr~|ReportField=Time~|ReportField=Title~|ReportField=Utv~|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=DataSourceFileName~VOU_SOM_CV_V0.0.1.PrjPcb|ReportField=DataSourceFullPath~D:\Work\FPGA_dev\PCB_SCH_prj\VOU_SOM_CV\VOU_SOM_CV_V0.0.1\VOU_SOM_CV_V0.0.1.PrjPcb
1|CC0402-X7R-0,1 мкФ-20%-10В|Чип конденсатор керамический|C1, C3, C5, C9, C10, C11, C12, C13, C14, C15, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C46, C52, C58, C59, C70, C82, C93, C102, C105, C110, C111, C123, C124, C138, C139, C160, C161, C166, C176, C177, C197, C198, C210, C211, C212, C223, C224, C225, C232, C233, C239, C240, C241, C242, C243, C251, C252, C253, C259, C260, C261, C267|CC0402(1005)|CC0402-X7R-#-20%-10В|74
2|CC0402-X7R-0,01 мкФ-10%-50В|Чип конденсатор керамический|C2, C4, C83, C103, C106, C107, C108, C109, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C164, C165, C167, C175, C178, C179, C188, C194, C195, C196, C206, C207, C208, C209, C217, C218, C219, C220, C221, C222, C226, C234, C235, C236, C237, C238, C244, C245, C255, C256, C257, C258, C263, C264, C265, C266, C270|CC0402(1005)|CC0402-X7R-#-20%-10В|89
3|W3A4YC104KAT2A|Чип конденсатор керамический|C6, C7, C8, C43, C44, C45|CAF-80P319X159-8N|W3A4YC104KAT2A|6
4|CC0402-X5R-22 мкФ-20%-6.3В|Чип конденсатор керамический|C16, C17, C18, C19, C48, C49, C50|CC0402(1005)|CC0402-X7R-#-20%-10В|7
5|CC0402-NP01000 пФ-1%-50В|Чип конденсатор керамический|C20, C51|CC0402(1005)|CC0402-X7R-#-20%-10В|2
6|CC0402-X5R-4.7 мкФ-20%-6.3В|Чип конденсатор керамический|C47|CC0402(1005)|CC0402-X7R-#-20%-10В|1
7|CC0402-NP0-100 пФ-1%-50В|Чип конденсатор керамический|C53, C54, C55, C56, C57, C60, C61, C62, C63, C64|CC0402(1005)|CC0402-X7R-#-20%-10В|10
8|CC0603-X5R-22 мкФ-20%-6,3В|Чип конденсатор керамический|C65, C66, C67, C71, C72, C73, C75, C76, C77, C78, C79, C80, C85, C86, C87, C88, C91, C92, C95, C96, C97, C98, C99, C100, C162, C163, C268|CC0603|CC0603-X5R-#-20%-6,3В|27
9|CC0603-X5R-47 мкФ-20%-6,3В|Чип конденсатор керамический|C68, C69, C89, C90|CC0603|CC0603-X5R-#-20%-6,3В|4
10|CC0402-X7R-2200 пФ-10%-16В|Чип конденсатор керамический|C74, C269|CC0402(1005)|CC0402-X7R-#-20%-10В|2
11|CC0603-X5R-1 мкФ-10%-25В|Чип конденсатор керамический|C81, C101|CC0603|CC0603-X5R-#-20%-6,3В|2
